,Bina novu,mekan,mertebe,otaq sayi,qiymet,sahe,sened
83,Yeni Tikili,Bineqedi r.,3.0,3,65000,102 ,Kupcali
84,Yeni Tikili,,9.0,2,114000,108 ,Kupcasiz
85,Yeni Tikili,Nerimanov r.,1.0,2,71000,60 ,Kupcasiz
86,Yeni Tikili,Xetai r.,14.0,2,94500,65 ,Kupcasiz
87,Kohne Tikili,Xetai r.,2.0,2,66000,50 ,Kupcali
88,Kohne Tikili,Xetai r.,5.0,3,110000,80 ,Kupcali
89,Yeni Tikili,,,5,30000,200 ,Kupcasiz
90,Yeni Tikili,Nerimanov r.,16.0,1,105000,74 ,Kupcasiz
91,Yeni Tikili,Nerimanov r.,9.0,1,109000,78 ,Kupcasiz
92,Kohne Tikili,Bineqedi r.,6.0,5,200000,120 ,Kupcali
93,Yeni Tikili,Nizami r.,10.0,4,490000,205 ,Kupcali
94,Yeni Tikili,Nerimanov r.,12.0,3,290000,151 ,Kupcali
95,Yeni Tikili,Bineqedi r.,12.0,1,105000,64 ,Kupcasiz
96,Kohne Tikili,Bineqedi r.,5.0,3,112000,90 ,Kupcali
97,Yeni Tikili,Bineqedi r.,4.0,4,168000,153 ,Kupcasiz
98,Yeni Tikili,Xetai r.,8.0,3,190000,118 ,Kupcasiz
99,Kohne Tikili,Nizami r.,4.0,2,64000,45 ,Kupcali
100,Yeni Tikili,Nizami r.,3.0,2,138000,92 ,Kupcali
101,Yeni Tikili,Nizami r.,5.0,3,180000,132 ,Kupcali
102,Yeni Tikili,Nizami r.,12.0,2,135000,90 ,Kupcali
103,Yeni Tikili,Nizami r.,12.0,2,125000,85 ,Kupcali
104,Kohne Tikili,Nizami r.,3.0,4,126000,110 ,Kupcali
105,Yeni Tikili,Nizami r.,15.0,4,195000,140 ,Kupcali
106,Yeni Tikili,Yasamal r.,5.0,4,285000,186 ,Kupcali
107,Yeni Tikili,Nesimi r.,12.0,4,323000,202 ,Kupcali
108,Yeni Tikili,Nizami r.,4.0,6,460000,215 ,Kupcali
109,Kohne Tikili,Suraxani r.,3.0,3,90000,80 ,Kupcali
110,Yeni Tikili,Nizami r.,7.0,3,150000,140 ,Kupcali
111,Kohne Tikili,Suraxani r.,5.0,1,34000,34 ,Kupcali
112,Yeni Tikili,Nesimi r.,13.0,3,177000,128 ,Kupcasiz
113,Kohne Tikili,Xetai r.,9.0,2,66000,60 ,Kupcali
114,Yeni Tikili,Nesimi r.,9.0,1,109000,78 ,Kupcasiz
115,Yeni Tikili,Xetai r.,3.0,3,161000,115 ,Kupcali
116,Kohne Tikili,Xetai r.,1.0,3,84500,85 ,Kupcali
117,Yeni Tikili,Yasamal r.,7.0,1,62000,30 ,Kupcali
118,Yeni Tikili,Nerimanov r.,2.0,3,205000,118 ,Kupcali
119,Yeni Tikili,Xetai r.,11.0,3,167008,129 ,Kupcali
120,Yeni Tikili,,,7,520000,350 ,Kupcali
121,Yeni Tikili,Nesimi r.,9.0,1,122000,72 ,Kupcasiz
122,Yeni Tikili,Sebail r.,10.0,5,2300000,320 ,Kupcasiz
123,Yeni Tikili,Xetai r.,4.0,3,245000,144 ,Kupcali
124,Yeni Tikili,Nerimanov r.,15.0,3,250000,130 ,Kupcasiz
125,Yeni Tikili,,,3,137000,128 ,Kupcasiz
126,Kohne Tikili,,,2,70000,38 ,Kupcali
127,Yeni Tikili,Nerimanov r.,10.0,3,166000,120 ,Kupcasiz
128,Kohne Tikili,Nesimi r.,2.0,2,68000,50 ,Kupcali
129,Yeni Tikili,Xetai r.,3.0,4,250000,145 ,Kupcasiz
130,Yeni Tikili,Yasamal r.,7.0,3,140000,134 ,Kupcasiz
131,Kohne Tikili,Nesimi r.,1.0,2,68000,50 ,Kupcasiz
132,Yeni Tikili,Sabuncu r.,4.0,3,130000,123 ,Kupcali
133,Yeni Tikili,Nesimi r.,16.0,1,105000,74 ,Kupcasiz
134,Yeni Tikili,,2.0,3,114000,111 ,Kupcasiz
135,Yeni Tikili,Nesimi r.,10.0,3,166000,120 ,Kupcasiz
136,Yeni Tikili,Sabuncu r.,11.0,2,88000,88 ,Kupcali
137,Yeni Tikili,Xetai r.,11.0,3,167000,129 ,Kupcali
138,Yeni Tikili,Xetai r.,6.0,3,255000,122 ,Kupcali
139,Yeni Tikili,Abseron r.,6.0,1,29000,42 ,Kupcasiz
140,Yeni Tikili,Xetai r.,15.0,3,145000,96 ,Kupcali
141,Kohne Tikili,Nizami r.,3.0,2,68500,50 ,Kupcali
142,Kohne Tikili,Nizami r.,5.0,2,74000,60 ,Kupcali
143,Yeni Tikili,Xetai r.,17.0,3,183000,127 ,Kupcasiz
144,Kohne Tikili,Xetai r.,3.0,1,65000,40 ,Kupcali
145,Yeni Tikili,Yasamal r.,12.0,3,107000,98 ,Kupcali
146,Yeni Tikili,Nerimanov r.,10.0,2,110000,85 ,Kupcasiz
147,Kohne Tikili,Xetai r.,6.0,4,140000,100 ,Kupcali
148,Yeni Tikili,Xetai r.,14.0,3,135000,96 ,Kupcali
149,Yeni Tikili,,,3,126000,115 ,Kupcasiz
150,Kohne Tikili,Xetai r.,13.0,2,98000,82 ,Kupcali
151,Yeni Tikili,Nerimanov r.,13.0,3,177000,128 ,Kupcasiz
152,Kohne Tikili,Nesimi r.,1.0,1,50000,32 ,Kupcali
153,Kohne Tikili,Suraxani r.,8.0,3,83000,80 ,Kupcali
154,Kohne Tikili,,,1,32000,30 ,Kupcasiz
155,Kohne Tikili,Nesimi r.,2.0,2,70000,42 ,Kupcali
156,Kohne Tikili,Sebail r.,4.0,3,160000,90 ,Kupcali
157,Kohne Tikili,,2.0,2,90000,50 ,Kupcali
158,Yeni Tikili,Nizami r.,9.0,4,234000,180 ,Kupcali
159,Yeni Tikili,Abseron r.,7.0,1,48000,41 ,Kupcasiz
160,Yeni Tikili,Xetai r.,5.0,1,63000,52 ,Kupcasiz
161,Kohne Tikili,Xetai r.,6.0,1,32000,30 ,Kupcasiz
162,Yeni Tikili,Bineqedi r.,4.0,2,132000,90 ,Kupcali
163,Yeni Tikili,Yasamal r.,4.0,2,108000,93 ,Kupcali
164,Kohne Tikili,Suraxani r.,8.0,3,83000,80 ,Kupcali
165,Yeni Tikili,Nerimanov r.,10.0,4,230000,160 ,Kupcali
