,Bina novu,mekan,mertebe,otaq sayi,qiymet,sahe,sened
367,Yeni Tikili,Sabuncu r.,11.0,3,233000,179 ,Kupcali
368,Yeni Tikili,Nerimanov r.,6.0,2,205000,106 ,Kupcali
369,Yeni Tikili,,5.0,3,158000,130 ,Kupcasiz
370,Yeni Tikili,Yasamal r.,16.0,2,132000,70 ,Kupcali
371,Kohne Tikili,Xetai r.,6.0,2,66000,54 ,Kupcali
372,Yeni Tikili,Abseron r.,2.0,2,59000,64 ,Kupcali
373,Yeni Tikili,,,1,48000,95 ,Kupcasiz
374,Kohne Tikili,Nizami r.,17.0,1,55000,55 ,Kupcasiz
375,Yeni Tikili,Nesimi r.,3.0,3,190650,123 ,Kupcasiz
376,Kohne Tikili,,,3,55555,70 ,Kupcali
377,Yeni Tikili,Nesimi r.,12.0,3,200000,116 ,Kupcali
378,Kohne Tikili,Nizami r.,2.0,3,105000,66 ,Kupcali
379,Yeni Tikili,Abseron r.,2.0,2,73000,70 ,Kupcasiz
380,Yeni Tikili,Nerimanov r.,7.0,3,159000,129 ,Kupcali
381,Yeni Tikili,Nizami r.,9.0,5,390000,311 ,Kupcali
382,Yeni Tikili,Xetai r.,14.0,3,220000,117 ,Kupcali
383,Yeni Tikili,Sabuncu r.,11.0,4,301000,232 ,Kupcali
384,Yeni Tikili,,,3,120000,97 ,Kupcali
385,Yeni Tikili,Nerimanov r.,7.0,3,250000,140 ,Kupcali
386,Kohne Tikili,Yasamal r.,6.0,3,120000,77 ,Kupcali
387,Yeni Tikili,Yasamal r.,7.0,2,74000,76 ,Kupcali
388,Yeni Tikili,Nesimi r.,7.0,4,380000,205 ,Kupcali
389,Yeni Tikili,Yasamal r.,10.0,3,153000,121 ,Kupcali
390,Yeni Tikili,,5.0,3,330000,156 ,Kupcali
391,Yeni Tikili,Xetai r.,2.0,3,158000,130 ,Kupcasiz
392,Yeni Tikili,Yasamal r.,7.0,3,159000,90 ,Kupcali
393,Yeni Tikili,Xetai r.,8.0,2,125000,54 ,Kupcasiz
394,Yeni Tikili,Nerimanov r.,20.0,3,215000,175 ,Kupcali
395,Yeni Tikili,Nerimanov r.,6.0,2,135000,70 ,Kupcali
396,Yeni Tikili,Nesimi r.,1.0,1,350000,150 ,Kupcali
397,Kohne Tikili,Nerimanov r.,2.0,2,81000,55 ,Kupcali
398,Yeni Tikili,Nesimi r.,12.0,4,480000,186 ,Kupcasiz
399,Yeni Tikili,Nesimi r.,18.0,3,68000,110 ,Kupcasiz
400,Yeni Tikili,,,3,135000,120 ,Kupcali
401,Yeni Tikili,Nesimi r.,8.0,3,170000,116 ,Kupcali
402,Yeni Tikili,Nerimanov r.,4.0,4,380000,174 ,Kupcali
403,Yeni Tikili,Nerimanov r.,17.0,3,110000,145 ,Kupcasiz
404,Yeni Tikili,Yasamal r.,1.0,3,110000,96 ,Kupcali
405,Yeni Tikili,Yasamal r.,6.0,4,182000,182 ,Kupcasiz
406,Yeni Tikili,Nesimi r.,15.0,3,165000,96 ,Kupcasiz
407,Yeni Tikili,Xezer r.,1.0,3,33000,90 ,Kupcasiz
408,Yeni Tikili,Sebail r.,10.0,2,125000,72 ,Kupcali
409,Kohne Tikili,Nesimi r.,6.0,3,270000,135 ,Kupcasiz
410,Kohne Tikili,,,3,82000,65 ,Kupcasiz
411,Yeni Tikili,Yasamal r.,6.0,1,73000,61 ,Kupcasiz
412,Yeni Tikili,Xetai r.,11.0,5,2125000,275 ,Kupcasiz
413,Kohne Tikili,,,1,55000,55 ,Kupcasiz
414,Yeni Tikili,Yasamal r.,11.0,1,35000,21 ,Kupcasiz
